Row Number,Idx_Sample,Utility,Novelty,Uncertainty,fc 28-d - Target (MPa),Slump - Target (mm),SiO2,CaO,SO3,FA (kg/m3),GGBFS (kg/m3),Coarse aggregate (kg/m3),Fine aggregate (kg/m3),Total aggregates,Na2SiO3,Na2O (Dry),Sio2 (Dry),Superplasticizer,water -eff
116,1564,0.7842970788478851,0.5086924222170817,40.204426,48.499043,128.9079,52.295,12.58,0.27,273,117,1057.564,775.43599,1833.0,167.14286,19.22,50.14,15.6,152.60143
111,1559,0.7770108431577682,0.620590024934336,41.43366,48.152855,131.02017,47.085,18.3,0.45,220,220,969.46003,777.33997,1746.8,172.85714,19.88,51.86,17.6,158.69857
117,1565,0.7633521929383278,0.5985826926515652,40.70856,48.34493,129.76205,52.295,12.58,0.27,280,120,1043.045,772.95498,1816.0,171.42857,19.71,51.43,16.0,156.51429
113,1561,0.7508277539163828,0.4371701376575792,38.826088,48.859085,126.51126,52.295,12.58,0.27,252,108,1090.8446,773.9554,1864.8,154.28571,17.74,46.29,14.4,140.86286
4,1402,0.749906032346189,0.4371405259395537,38.8271,48.85818,126.51238,52.295,12.58,0.27,252,108,1090.8,774.0,1864.8,154.28571,17.74,46.29,14.4,140.86286
118,1566,0.7306043654680252,0.698648336214228,41.249348,48.172665,130.67136,52.295,12.58,0.27,287,123,1026.6499,769.15012,1795.8,175.71429,20.21,52.71,16.4,160.42714
138,1588,0.7148397564888,0.6661463746574209,43.36417,47.574886,134.30322,47.085,18.3,0.45,215,215,967.96105,795.03895,1763.0,184.28571,21.19,55.29,17.2,168.25286
100,1547,0.67921581864357,0.49463769290240883,39.636093,48.585815,127.858,49.69,15.44,0.36,252,168,1010.9298,765.67018,1776.6,165.0,18.98,49.5,16.8,151.485
119,1567,0.6124017238616943,0.7538197346515875,41.908077,47.90991,131.72606,52.295,12.58,0.27,294,126,1010.9298,765.67018,1776.6,180.0,20.7,54.0,16.8,164.34
30,1431,0.6075788736343384,0.2103135198332394,37.98423,48.996002,124.96446,47.085,18.3,0.45,225,225,972.0,760.5,1732.5,144.64286,16.63,43.39,18.0,134.75893
55,1500,0.6057946383953094,0.20996688588398574,37.983322,48.99505,124.96169,47.085,18.3,0.45,225,225,971.96195,760.53805,1732.5,144.64286,16.63,43.39,18.0,134.75893
89,1535,0.599425345659256,0.5118513812036918,39.357838,48.609146,127.32482,52.295,12.58,0.27,280,120,1043.045,772.95498,1816.0,157.14286,18.07,47.14,16.0,144.27143
130,1579,0.5307798385620117,0.6859952949009572,43.389412,47.443497,134.22232,49.69,15.44,0.36,264,176,969.46003,777.33997,1746.8,188.57143,21.69,56.57,17.6,172.16571
78,1523,0.5046720504760742,0.23090147164554747,36.35741,49.378105,122.092926,47.085,18.3,0.45,190,190,1070.4551,776.34486,1846.8,135.71429,15.61,40.71,15.2,125.42714
90,1536,0.48348596692085266,0.581657208883025,39.737263,48.42546,127.89999,52.295,12.58,0.27,287,123,1026.6499,769.15012,1795.8,161.07143,18.52,48.32,16.4,147.87821
71,1516,0.46790266036987305,0.30056222073094346,37.34941,49.077854,123.77668,49.69,15.44,0.36,246,164,1026.6499,769.15012,1795.8,146.42857,16.84,43.93,16.4,135.32929
96,1542,0.40198034048080444,0.12364538006141497,36.410305,49.294025,122.11463,49.69,15.44,0.36,222,148,1081.5584,775.84155,1857.4,145.35714,16.72,43.61,14.8,133.45107
91,1537,0.3261319398880005,0.6633594081748823,40.10966,48.21574,128.43506,52.295,12.58,0.27,294,126,1010.9298,765.67018,1776.6,165.0,18.98,49.5,16.8,151.485
88,1534,0.3017129935324192,0.4511962318223525,38.881344,48.54025,126.30293,52.295,12.58,0.27,273,117,1057.564,775.43599,1833.0,153.21429,17.62,45.96,15.6,140.66464
